Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Dec_2023;CP_Dec_2024;%CP;Sus_Dec_2023;Sus_Dec_2024;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Dec_2024;Conc100_Dec_2024;TPSent_12_meses;TPCPL_Dec_2024;TC_Dec_2024;IAD_12_meses
TJSP;10756;TUPI PAULISTA;SP;01 CUMULATIVA DE TUPI PAULISTA;G1, JE;4.700;4.499;-4,3%;1.140;1.141;0,1%;1.628;1.752;4.662;6.412;1.134;364;726;9;8 anos e 5 meses;25 anos e 5 meses;65%;108%
TJSP;10864;SAO PAULO;SP;JUIZADO ESPECIAL CÍVEL - CIC ZONA OESTE-FORO REGIONAL IV - LAPA;JE;367;367;0%;0;0;;0;0;0;0;0;0;359;7;;21 anos e 5 meses;100%;
TJSP;59839;SAO PAULO;SP;02 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;426;404;-5,2%;7;0;-100%;0;21;23;5;0;0;397;0;6 anos e 4 meses;15 anos e 9 meses;95%;
TJSP;59766;SAO PAULO;SP;01 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.293;1.263;-2,3%;188;4;-97,9%;0;33;40;134;1;0;1.078;2;8 meses;15 anos e 9 meses;97%;
TJSP;59792;SAO PAULO;SP;01 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.123;1.115;-0,7%;11;0;-100%;1;11;10;25;0;0;1.100;0;;15 anos e 8 meses;99%;1.100%
TJSP;59867;SAO PAULO;SP;04 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;778;732;-5,9%;193;2;-99%;0;45;50;132;0;0;550;0;;15 anos e 7 meses;92%;
TJSP;59814;SAO PAULO;SP;02 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;593;571;-3,7%;183;8;-95,6%;0;24;50;139;0;0;331;1;;15 anos e 7 meses;93%;
TJSP;59852;SAO PAULO;SP;03 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;726;701;-3,4%;161;132;-18%;0;26;43;112;0;0;542;1;10 meses;15 anos e 7 meses;95%;
TJSP;70925;SAO PAULO;SP;15ª CÂMARA DE DIREITO PÚBLICO;G2;19.676;21.417;8,8%;1.154;1.359;17,8%;14.602;12.881;12.743;7.290;1.358;977;13.409;1.335;2 meses;15 anos e 2 meses;61%;88%
TJSP;70927;SAO PAULO;SP;17ª CÂMARA DE DIREITO PÚBLICO;G2;12.256;11.671;-4,8%;444;622;40,1%;7.152;7.744;8.022;4.746;256;32;8.643;410;1 Mes;13 anos e 10 meses;59%;108%
