Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Dec_2023;CP_Dec_2024;%CP;Sus_Dec_2023;Sus_Dec_2024;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Dec_2024;Conc100_Dec_2024;TPSent_12_meses;TPCPL_Dec_2024;TC_Dec_2024;IAD_12_meses;TPSent_12_meses_num;TPCPL_Dec_2024_num
TJSP;10756;TUPI PAULISTA;SP;01 CUMULATIVA DE TUPI PAULISTA;G1, JE;4.700;4.499;-4,3%;1.14;1.141;0,1%;1.628;1.752;4.662;6.412;1.134;364.0;726.0;9.0;8 anos e 5 meses;25 anos e 5 meses;65%;108%;101.0;305.0
TJSP;70925;SAO PAULO;SP;15ª CÂMARA DE DIREITO PÚBLICO;G2;19.676;21.417;8,8%;1.154;1.359;17,8%;14.602;12.881;12.743;7.29;1.358;977.0;13.409;1.335;2 meses;15 anos e 2 meses;61%;88%;2.0;182.0
TJSP;70927;SAO PAULO;SP;17ª CÂMARA DE DIREITO PÚBLICO;G2;12.256;11.671;-4,8%;444.0;622.0;40,1%;7.152;7.744;8.022;4.746;256.0;32.0;8.643;410.0;1 Mes;13 anos e 10 meses;59%;108%;1.0;166.0
TJSP;70926;SAO PAULO;SP;16ª CÂMARA DE DIREITO PÚBLICO;G2;12.521;12.748;1,8%;335.0;491.0;46,6%;8.951;8.72;9.899;4.069;332.0;53.0;8.967;428.0;2 meses;13 anos e 5 meses;58%;97%;2.0;161.0
TJSP;59816;SAO PAULO;SP;02 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO;TR;1.393;1.345;-3,4%;885.0;859.0;-2,9%;2.0;53.0;146.0;26.0;1.0;0.0;464.0;21.0;2 anos e 5 meses;13 anos e 3 meses;90%;2.650%;29.0;159.0
TJSP;59855;SAO PAULO;SP;03 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;472;65.0;-86,2%;3.0;6.0;100%;4.0;415.0;323.0;16.0;4.0;1.0;49.0;4.0;3 anos e 7 meses;13 anos e 2 meses;12%;10.375%;43.0;158.0
TJSP;59817;SAO PAULO;SP;02 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;439;74.0;-83,1%;4.0;5.0;25%;6.0;377.0;186.0;3.0;3.0;0.0;66.0;2.0;6 meses;12 anos e 8 meses;15%;6.283%;6.0;152.0
TJSP;70924;SAO PAULO;SP;14ª CÂMARA DE DIREITO PÚBLICO;G2;17.383;19.371;11,4%;1.41;1.723;22,2%;16.343;14.395;15.825;6.319;1.491;1.378;9.6;1.213;3 meses;12 anos;55%;88%;3.0;144.0
TJSP;11866;CAMPINAS;SP;SEF DE CAMPINAS;G1;303.506;294.141;-3,1%;27.252;29.506;8,3%;7.858;17.378;35.034;28.079;16.38;4.941;246.661;779.0;8 anos e 8 meses;11 anos e 8 meses;94%;221%;104.0;140.0
TJSP;59787;SAO PAULO;SP;01 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;254;75.0;-70,5%;8.0;8.0;0%;23.0;190.0;85.0;44.0;0.0;0.0;45.0;6.0;1 ano e 7 meses;11 anos e 4 meses;26%;826%;19.0;136.0
